cluster_uid,target,sources,n_sources,silhouette_score,note
1ec956cfaa11,HBB,YBX1;DRAP1;NR1H3;EMX1;HTATIP2;RFXANK;PRDM4;HMGB2;HMGB1;ATF4;NR1H2;HOXB2;TCF7L1;HOXD8;MBD2;GTF3A;LMO2;PHF1;KLF2;CREBL2;JUND;ZSCAN18;CREB3;IRF3;MAX,25,0.2058,exp05_kidney_cortex-coregtor-r1
b79d88bfd236,HLA-DRB1,STAT5B;ARNT;CTNNB1;HSF1;PML;ETS1;SP100;NONO;SND1;NFKB1;IRF3;SSRP1;BCLAF1;TFE3;ZBTB48;MBD1;ABL1;SIRT6;ELF3;E4F1;VEZF1;MYRF;MAX;PHF1;USF1;ZBTB17;ZNF76;ATF6B;LDB1;RFX5;HDAC1;STAT6;HDAC3;HMGB2;PBX2;TCF7L1;NFE2L2;ZBTB4;STAT5A;ZSCAN18;MEF2D;NR1H2;MBD2;NFKB2;CREB3;SMARCA1;RARA,47,0.2633,exp05_kidney_cortex-coregtor-r1
3f533df4f249,HLA-E,NONO;ETS1;SP100;STAT5B;NFKB1;ATF4;HMGB2;ZSCAN18;SMARCA1;CTNNB1;RELA;MEF2D;NFE2L2;RARA;CIC;MBD2;IRF3;ARNT;BCLAF1;MBD1;MAX;SMARCC1;STAT5A;TFE3;PML;NR1H2;SSRP1;HSF1;LDB1;ZNF76;KLF6;CREB3;RFX5;VEZF1;USF1;STAT6;STAT3,37,0.3347,exp05_kidney_cortex-coregtor-r1
9cddc1573ce6,HMOX1,SALL1;RELA,2,0.2783,exp05_kidney_cortex-coregtor-r1
4a672d72280d,HSP90AA1,EWSR1;MAFG,2,0.3024,exp05_kidney_cortex-coregtor-r1
fefb95289bf9,HSPA1A,MZF1;HOXA9;JUND;HSF4;MAFF;JUN;PML;BHLHE40;HOXB9;STAT1;NR4A2;ATF3;MAX;IRF7;DDIT3;ZBTB48;HOXD4;MXI1;HMGB2;NFE2L2;IRF9;ID2;HMGB1;HOXB7;KLF6,25,0.3181,exp05_kidney_cortex-coregtor-r1
dab12ebbe780,ID3,NR2F2;NFATC4;USF2;ZNF362;SOX18;HOXB5;CXXC1;HOXA5;HOXD9;ZNF32;HOXD10;ZBTB4;THAP11;THRA;MXD4;CIC;SKI;POU3F3;NCOR2;USF1;TRIM28;TCF7L1;E2F4;HDAC1;ID1;E4F1;HOXB7;NFYC;SF1;HOXB3;RFXANK;CTBP1,32,0.425,exp05_kidney_cortex-coregtor-r1
45b855c142e5,MAT2A,CTNNB1;SRF;STAT6;MEF2D;NONO;SMARCC1;SND1;ARNT;GTF2F1;ZBTB7B;EWSR1;TFE3;ERF;MAFG;SMARCA1;KDM2A;ATF6B;STAT5A;APEX1;SP1;ABL1;STAT5B;RFX5;NFKB1;ETS1;SMAD3;CREBZF;CREB3;ZNF384;SKI;XBP1;NFE2L1;HOXD4;IRF9;PBX2,35,0.2669,exp05_kidney_cortex-coregtor-r1
2deb3db319e8,MCL1,CTNNB1;HMGB2;NFKB1;SMARCA1;STAT5B;SND1;SMARCC1;ARNT;ETS1;NONO;BCLAF1;SRF;RELA;MEF2D;STAT6;SP100;MAX;PML;KLF6;SSRP1;TFE3;ZSCAN18;MYRF;NFE2L2;ARID5A;UBP1;MLXIP;CEBPB;SP1;GTF2F1;FOSL2;RARA;KDM2A;STAT3,34,0.3363,exp05_kidney_cortex-coregtor-r1
09bb8300bba8,NDRG1,RELA;ETS1;NFIL3;RORC;FOSL2;MAFF;SMAD3;ETS2;HSF4;MXI1;MAFG;NFKB2;ZSCAN18;BHLHE40;CEBPB;TFE3;HMGB2;STAT5B;ARID5A;ABL1;ARNT;RELB,22,0.3321,exp05_kidney_cortex-coregtor-r1
