Unnamed: 0,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard,exp_name,dataset,tool,result_name,Unnamed: 0.2,Unnamed: 0.1,grn_collectri_f1,method
31,4f67f643995a,PCNA,MAX;SMARCA5;SND1;CTCF;HMGB1;SSRP1;TFCP2;THAP11;NFE2L2;UBTF;APEX1;SMARCA1;DMAP1;STAT5B;ING4;NFE2L1;TRIM28;TERF2;BCLAF1;CXXC1;YY1;ZNF189;RXRB;NONO,24,0.2071,exp03_amygdala-coregtor-r1,0.56703,0.56039,0.57669,23.74221,19.15001,21.2422,0.48256,1.61618,0.39627,0.125,0.06383,0.04412,exp03,amygdala,coregtor,r1,,,,
32,68bb33d4ed94,PDK4,HES4;ATF3;NFE2L2;HIF1A;EGR1;ERF;NFIA;JUNB;NR4A1;HIF3A;XBP1;EMX2;RXRA;ETV5;KLF15;NPAS2;MXD4;JUN;THRA;SREBF1;FEZF2;NFIL3;FOS;LHX2;PIR;NR2E1;ZBTB4;BCL6;NR1D1;CBFB;SMARCA5;MXI1;SFPQ;CEBPD;LDB1;HMGB2;KLF16;EGR3;CEBPB;SOX2;DDIT3;ENO1;SOX9;MEF2D;SKI;TRIM28;TERF2;MTA3;NCOR1;E4F1;NFIC;FOXO3;FOXG1;ATF5;SMARCA1;NFYC;HSF1;NR2F2,58,0.3435,exp03_amygdala-coregtor-r1,0.51008,0.55747,0.51583,10.50611,16.80048,8.55194,0.55416,1.79969,0.4736,0.05172,0.13043,0.03846,exp03,amygdala,coregtor,r1,,,,
33,3a47d22f4329,PER1,MXI1;EMX2;HEY1;NR2E1;SMARCA1;NR2F2;KLF9;LHX2;SKI;CBFB;FOXO3;NFE2L2;ENO1;RXRA;THRA;CEBPD;HSF1;SOX2;CREBZF;KLF15;ID4;ETS2;DDIT3;EGR3;PIR;EGR1;ZBTB4;HMGB2;BHLHE40;SND1;JUNB;STAT5B;ATF2;HDAC1;APEX1;ZBTB18;JUND;NR4A1;ESRRA;HDAC3;HIF3A;MTA3;NR1D1;MBD1;ABL1;NONO;NPAS2;HES4;ATF5;FOS;RELA;ETV5;ZSCAN18;PPARD;SMARCA5;FEZF2;BCL6;SRF;CREB3;LDB1;NFIA;BHLHE22;CEBPB;ATF6B;TERF2;ERF;RFX4;HIF1A;TFDP1;ZHX2;JUN;DEAF1;CEBPG;NFIL3,74,0.3541,exp03_amygdala-coregtor-r1,0.49469,0.53594,0.50441,7.87093,15.23855,6.41306,0.53772,1.75886,0.45622,0.08108,0.23077,0.06383,exp03,amygdala,coregtor,r1,,,,
34,e81be863a149,PIK3R1,BCLAF1;TBL1XR1;TFCP2;CTCF;ATF2;NR1D2;NFE2L1;SMARCA5;YY1;NCOR1;CREBZF;ZNF362;FOXO3;PBX1;THAP12;PBX2;ZBTB4;NONO;STAT5B,19,0.3774,exp03_amygdala-coregtor-r1,0.51657,0.53411,0.51462,12.1541,17.15841,11.73016,0.53207,1.63147,0.46332,0.05263,0.02564,0.01754,exp03,amygdala,coregtor,r1,,,,
35,414875c315c1,PRKACA,NFYC;CTBP1;FOXJ3;HDAC3;ZSCAN18;LDB1;TERF2;SRF;MEF2D;SSRP1;TBPL1;DMAP1;E2F4;HLF;GTF2F1;YY1;NONO;RXRB;TBL1XR1;PBX2,20,0.3967,exp03_amygdala-coregtor-r1,0.53421,0.52018,0.54123,9.62279,11.93365,10.94558,0.50147,1.59763,0.43113,0.05,0.02128,0.01515,exp03,amygdala,coregtor,r1,,,,
36,b8914d74677e,RHOA,NFE2L2;SMARCA5;BHLHE41;YBX1;MXI1;HMGB1;CTCF;USF2;SMARCA1;BCLAF1;MBD1;TFCP2;SND1;ZHX2;ATF2;NONO;STAT2;MAX;RFXANK;ENO1;APEX1,21,0.2689,exp03_amygdala-coregtor-r1,0.55476,0.5254,0.55952,22.00343,12.35996,18.4416,0.49149,1.55562,0.41432,0.0,0.0,0.0,exp03,amygdala,coregtor,r1,,,,
37,bf95ff11c8c4,SOCS3,ZBED1;NFIL3;ARID5A;CEBPB;ZNF189;SOX9;BCL6;CEBPD;XBP1;STAT3;NPAS2;HMGA1;PPARD;ENO1;CEBPG;BHLHE40;TERF2;THAP12,18,0.4013,exp03_amygdala-coregtor-r1,0.5305,0.55664,0.52288,7.67431,16.69897,5.85487,0.50836,1.79686,0.40604,0.16667,0.08108,0.05769,exp03,amygdala,coregtor,r1,,,,
38,77d881b58d8f,SOD2,XBP1;ERF,2,0.3789,exp03_amygdala-coregtor-r1,0.5,0.5,0.33333,0.5973,1.21279,0.0,0.37614,1.1253,0.34088,0.5,0.025,0.02439,exp03,amygdala,coregtor,r1,,,,
39,a1a489fd7624,SPARC,NR2E1;SMARCA1;SALL2;CEBPB;RFX4;NFIA;TFDP1;NFE2L2;SOX2;YBX1;HDAC1;ESRRA;ID4;ZBED1;MEIS3;NEUROD2;CEBPD;ZNF219;RFXANK;RXRA;ZEB1;NCOA1;NFE2L1;TCF12;CEBPG;PIR;ID2;STAT3,28,0.3039,exp03_amygdala-coregtor-r1,0.50485,0.54189,0.51675,7.0978,16.39925,7.57655,0.53949,1.75654,0.46402,0.03571,0.04348,0.02,exp03,amygdala,coregtor,r1,,,,
40,744b80803333,SQSTM1,RELA;ENO1;APEX1;TFE3;TRIM28;MLX;SND1;HSF1;NONO;CEBPG;THAP11;GTF2F1;IRF3;MBD1;E4F1;HMGB2;ATF4;SF1;EWSR1;ZSCAN18;SSRP1;FOXO3;STAT3;PIR;ESRRA;CTNNB1;DDIT3;FOXJ3;NFIC,29,0.3301,exp03_amygdala-coregtor-r1,0.53818,0.52504,0.55378,13.80841,12.55195,14.86103,0.48237,1.53113,0.40993,0.06897,0.1,0.04255,exp03,amygdala,coregtor,r1,,,,
