cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
14dc0805299b,TBC1D9B,ZNF142;NOC2L;POLR3A;ZFP64;PDCD11;ABCF2;ZNF500;TAF6;NELFA;NFX1;NELFB;PATZ1,12,0.4704,exp01_blood-coregtor-r1,0.4899,0.49242,0.50253,14.21001,25.13498,13.53642,0.44215,1.1582,0.41999,,,,
57ff8866772f,TBCA,PSMA6;LSM6;SUCLG1;UGP2;EXOSC3;GTF2A2;SFT2D1,7,0.0,exp01_blood-coregtor-r1,0.43651,0.45238,0.5,2.43923,2.53065,4.94973,0.30969,1.05568,0.26855,,,,
2b3e449ecfc1,TBCB,VPS72;ZNF688;ZNF524,3,0.0,exp01_blood-coregtor-r1,0.5,0.33333,0.5,2.3809,0.0,2.55167,0.65382,1.51801,0.61925,,,,
03340867ebd4,TBCC,GIT2;ZNF20;ZSCAN32;ZNF396;DUSP22;GTF2B;NMI;CENPBD1;HHEX;ZSWIM1,10,0.5243,exp01_blood-coregtor-r1,0.35185,0.38704,0.34074,1.30213,0.84091,1.1942,0.28707,0.74311,0.2982,,,,
1355524ffd40,TBCCD1,MGA;SP4;TCF12;GATAD1;PURA;PDS5A;ZNF146;ZNF664;HMG20A;DNAJC21;ZZZ3;CREBL2;ZNF678;NNT;CBFB;HCFC2;FUBP1;GTF2H3;HP1BP3;ZNF354B,20,0.4292,exp01_blood-coregtor-r1,0.47807,0.41053,0.48596,7.32662,1.66732,6.0502,0.49418,1.19911,0.47695,,,,
0935a97630c0,TBCD,LAS1L;NOC2L;NELFA;DAZAP1;BRF1;SSRP1;KAT7;ZNF76;IRF3;HMGXB3;SND1;TRIM28;PPP5C,13,0.3082,exp01_blood-coregtor-r1,0.50427,0.5,0.52137,14.20089,8.1495,16.13927,0.36123,1.12304,0.33447,,,,
de02c9076184,TBCEL,FHL2;TFDP2;ZNF23;NFIX;TAL1;GFI1B;SOX6;FOXO4;E2F2;ELF3;GATA1;PPARG;NR1H3;KLF1;UBB;ZNF653;HES6;ZNF175;CPEB1;FANK1;LYL1;BATF3;MXI1;TCF3;PBX1,25,0.0,exp01_blood-coregtor-r1,0.465,0.49778,0.46444,3.27178,8.42862,3.45342,0.57258,1.67962,0.51837,,,,
10c74d017ad1,TBCK,METTL3;ZNF678;ZNF248;NUP133;ZNF510;ZNF527;THOC2;PDS5A;HCFC2;ZNF570;ZFP62;ZNF525,12,0.211,exp01_blood-coregtor-r1,0.41919,0.38889,0.42929,4.68787,2.93133,3.64074,0.47523,1.16326,0.47795,,,,
65517baea4cc,TBK1,ZBED5;VEZF1;ZNF148;VPS4B;RAB18;TAF7;FOXN2;THAP5;ZBTB34;POLI;ZNF24,11,0.0,exp01_blood-coregtor-r1,0.43636,0.36818,0.45152,2.81474,0.58802,3.65024,0.4764,1.20108,0.46295,,,,
873fbddd67a8,TBKBP1,ANXA11;HCLS1;ZNF467;NFE2;MLXIP;TFEB;CEBPD;DNTTIP1;KDM4B;RAB7A;ZNF438,11,0.0,exp01_blood-coregtor-r1,0.42424,0.41818,0.43939,5.59078,2.04627,1.81798,0.416,1.12642,0.39881,,,,
2ef1f59be791,TBL1X,STAT5B;KDM4B;STK40;ZNF746;ZNF687,5,0.0,exp01_blood-coregtor-r1,0.5,0.41667,0.5,4.22649,1.68291,3.07109,0.4487,0.99771,0.44906,,,,
36f056256180,TBL2,SND1;NELFB,2,0.1562,exp01_blood-coregtor-r1,0.5,0.5,0.5,19.36125,0.65827,29.55758,0.4055,1.14098,0.35947,,,,
ab72a83fadf9,TBL3,DUS3L;NOC2L;ASPSCR1;PDCD11;ZNF598;GTPBP6;NELFB,7,0.4444,exp01_blood-coregtor-r1,0.51587,0.56349,0.52381,12.39506,25.9727,14.27305,0.32032,0.86524,0.31696,,,,
f0f1b16aaf3f,TBRG1,MBD1;BBX;GATAD1;HMBOX1;ZNF431;ZNF207;DHX36;USP39;ZNF841;ZFP91;NONO;BCLAF1;ZNF800;ZNF808;IKZF5;METTL3,16,0.4717,exp01_blood-coregtor-r1,0.47222,0.39792,0.48194,11.30958,3.04779,10.39668,0.48568,1.32199,0.44995,,,,
75ac4dec4b33,TBRG4,RUVBL1;GTPBP6;NOC2L;DAZAP1;TRMT1;TIMM44;CXXC1;IRF3;LAS1L;TAF6;PPP5C;RFX5;DUS3L;CPSF4;IVD;MTA3;ZNF48;NELFA;TGIF2,19,0.0,exp01_blood-coregtor-r1,0.48928,0.48246,0.49805,8.60686,6.97411,8.52566,0.3649,1.02665,0.33936,,,,
cc51cb3039f6,TBXAS1,HCLS1;ANXA11;RAB7A;SEMA4A;ATF6;CYB5R1;DNTTIP1,7,0.0,exp01_blood-coregtor-r1,0.46825,0.45238,0.5,3.30047,2.44138,4.05398,0.30617,0.9954,0.26466,,,,
