cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
36c645d607f4,SIVA1,POLE4;SIRT6;GTPBP6;RNASEH2C;RPL35;UBXN1;RBM42;ZNF205;ASPSCR1;RFXANK;SCAND1;ZNF787;PQBP1;HIVEP1;NUCB1;ZNF524;NR1H2;CPTP;SIX5;ZNF511;STUB1;DRAP1;ZNF414;HIVEP2;ERF;IRF3;CHD1;ZNF37A;ETV2;ESRRA;BAX;NFAT5;EP300;CENPB;ZNF408;ZNF628;BAD;HMG20B;ECSIT;E4F1;NELFB;ZNF267;TIMM44;ZNF653;AFF4;RREB1;NR2F6;TSC22D4;HSF1;KMT2A,50,0.0,exp01_luad-coregtor-r1,0.45068,0.41626,0.46578,3.22316,2.73587,3.63239,0.4082,1.05832,0.39434,,,,
533e842d5a05,SKA1,MYBL2;MELK;FOXM1,3,0.0,exp01_luad-coregtor-r1,0.66667,1.0,0.66667,7.39925,203.22437,8.96127,0.31957,0.88347,0.33451,,,,
34d2e9440c59,SKA2,RFC2;DTL;PSMD12;MELK;HMGB2;BRCA1;MYBL1,7,0.4858,exp01_luad-coregtor-r1,0.53968,0.61111,0.53968,9.52497,47.22347,13.49082,0.35038,1.29568,0.28114,,,,
479733b09890,SKA2P1,ZBTB22;ZNF507,2,0.2278,exp01_luad-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,1.28336,0.88818,2.1009,0.85945,,,,
f936b33a1db9,SKA3,MELK;FOXM1;MYBL2,3,0.0,exp01_luad-coregtor-r1,0.66667,1.0,0.66667,7.39925,203.22437,8.96127,0.31957,0.88347,0.33451,,,,
3cbca9e7c146,SKAP1,HOXB9;HOXB7;EOMES;HOXB2;FOXP3;SP140;IL21,7,0.2111,exp01_luad-coregtor-r1,0.37302,0.60317,0.39286,0.8136,21.07304,0.97052,0.54606,1.70129,0.48116,,,,
37ad634edb41,SKAP1-AS1,ZNF484;LCORL,2,0.2555,exp01_luad-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.7174,1.54705,0.7113,,,,
6b01d415acea,SKAP2,ELK3;DR1;FOXN2;HOXA1;ZNF444;BACH1;ELF1;HOXA3,8,0.3152,exp01_luad-coregtor-r1,0.45238,0.38095,0.45238,4.19474,5.13527,4.03788,0.702,1.82989,0.66872,,,,
475a7eb4cda7,SKIDA1,SOX5;MEOX2;TPI1;PRDM5;TCF21;NXPH3;SMAD9;PHLDA2;PKNOX2,9,0.1116,exp01_luad-coregtor-r1,0.41204,0.40741,0.41204,0.55871,0.59086,0.55709,0.35386,1.0072,0.35343,,,,
9c4f563e49fe,SKIL,ZNF564;ZNF382,2,0.1895,exp01_luad-coregtor-r1,0.5,0.5,0.5,1.78058,1.95734,1.76864,0.9559,2.26801,0.96159,,,,
