plot_tool,index,target,sources,method,value
CoRegTor,shortest_PPI_path_score_stringdb,TAGLN,GADD45A;TAGLN2;CSNK2B;HNRNPA1;TRIP10,exp02_lung-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_stringdb,TIMP1,TPI1;YBX1;PKM;P4HB;RPL35,exp02_lung-coregtor-n_five,0.8
CoRegTor,shortest_PPI_path_score_stringdb,TIMP3,EPAS1;KLF9,exp02_lung-coregtor-n_five,0.5
CoRegNet,shortest_PPI_path_score_stringdb,CDKN1A,BCL3;BHLHE40;ETS2;GADD45A;JUNB;NR4A1,exp02-coregnet,0.6
CoRegNet,shortest_PPI_path_score_stringdb,DUSP1,BHLHE40;EGR1;FOS;GADD45A;JUN;JUNB;KLF4;NR4A1,exp02-coregnet,0.875
CoRegNet,shortest_PPI_path_score_stringdb,FN1,BCL3;BHLHE40;FOS;GADD45A;NR4A1,exp02-coregnet,0.7
CoRegNet,shortest_PPI_path_score_stringdb,HBB,BCL3;FOS;GADD45A,exp02-coregnet,0.83333
CoRegNet,shortest_PPI_path_score_stringdb,HLA-E,BCL3;EPAS1;ETS2;GADD45A;JUN;JUNB;NR4A1;TRIP10,exp02-coregnet,0.66071
CoRegNet,shortest_PPI_path_score_stringdb,HSP90AA1,HSPA5;JUN,exp02-coregnet,1.0
CoRegNet,shortest_PPI_path_score_stringdb,NFKBIA,BCL3;EGR1;ETS2;GADD45A;JUNB;KLF4;KLF9;NR4A1,exp02-coregnet,0.71429
CoRegNet,shortest_PPI_path_score_stringdb,PDK4,BCL3;EGR1;FOS,exp02-coregnet,0.83333
CoRegNet,shortest_PPI_path_score_stringdb,SOCS3,BCL3;BHLHE40;EGR1;GADD45A;JUNB;NR4A1,exp02-coregnet,0.7
CoRegNet,shortest_PPI_path_score_stringdb,SPARC,FOS;GADD45A,exp02-coregnet,1.0
CoRegNet,shortest_PPI_path_score_stringdb,TAGLN,FOS;GADD45A;NR4A1,exp02-coregnet,0.83333
CoRegNet,shortest_PPI_path_score_stringdb,TIMP1,EGR1;GADD45A,exp02-coregnet,1.0
CoRegNet,shortest_PPI_path_score_stringdb,TIMP3,EPAS1;KLF9;NR4A1,exp02-coregnet,0.5
CoRegTor,shortest_PPI_path_score_biogrid,CDKN1A,GADD45A;BCL3;ETS2,exp02_lung-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_biogrid,DUSP1,JUN;NR4A1;EGR1,exp02_lung-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_biogrid,FN1,HNRNPA1;YWHAZ;CSNK2B;TRIP10;GADD45A,exp02_lung-coregtor-n_five,0.6
CoRegTor,shortest_PPI_path_score_biogrid,HBB,SNRNP70;BCL6;BHLHE40;RPL35;TAGLN2,exp02_lung-coregtor-n_five,0.55
CoRegTor,shortest_PPI_path_score_biogrid,HLA-E,TRIP10;EPAS1,exp02_lung-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_biogrid,HSP90AA1,STAT6;ANXA1;KLF6;NUCB1;CLK1;GADD45A,exp02_lung-coregtor-n_five,0.47778
CoRegTor,shortest_PPI_path_score_biogrid,NFKBIA,GADD45A;TBX2;JUNB;ETS2;BCL3;HSPA5;TRIP10,exp02_lung-coregtor-n_five,0.48413
CoRegTor,shortest_PPI_path_score_biogrid,PDK4,BCL3;KLF9;BHLHE40;PKM;KLF4;CEBPB,exp02_lung-coregtor-n_five,0.52222
CoRegTor,shortest_PPI_path_score_biogrid,SOCS3,BCL3;JUNB;ETS2;BHLHE40;GADD45A,exp02_lung-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_biogrid,SPARC,CLK1;ETS2,exp02_lung-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_biogrid,TAGLN,GADD45A;TAGLN2;CSNK2B;HNRNPA1;TRIP10,exp02_lung-coregtor-n_five,0.53333
CoRegTor,shortest_PPI_path_score_biogrid,TIMP1,TPI1;YBX1;PKM;P4HB;RPL35,exp02_lung-coregtor-n_five,0.55
CoRegTor,shortest_PPI_path_score_biogrid,TIMP3,EPAS1;KLF9,exp02_lung-coregtor-n_five,0.5
CoRegNet,shortest_PPI_path_score_biogrid,CDKN1A,BCL3;BHLHE40;ETS2;GADD45A;JUNB;NR4A1,exp02-coregnet,0.5
CoRegNet,shortest_PPI_path_score_biogrid,DUSP1,BHLHE40;EGR1;FOS;GADD45A;JUN;JUNB;KLF4;NR4A1,exp02-coregnet,0.57143
CoRegNet,shortest_PPI_path_score_biogrid,FN1,BCL3;BHLHE40;FOS;GADD45A;NR4A1,exp02-coregnet,0.55
CoRegNet,shortest_PPI_path_score_biogrid,HBB,BCL3;FOS;GADD45A,exp02-coregnet,0.66667
CoRegNet,shortest_PPI_path_score_biogrid,HLA-E,BCL3;EPAS1;ETS2;GADD45A;JUN;JUNB;NR4A1;TRIP10,exp02-coregnet,0.57143
CoRegNet,shortest_PPI_path_score_biogrid,HSP90AA1,HSPA5;JUN,exp02-coregnet,0.5
CoRegNet,shortest_PPI_path_score_biogrid,NFKBIA,BCL3;EGR1;ETS2;GADD45A;JUNB;KLF4;KLF9;NR4A1,exp02-coregnet,0.5119
CoRegNet,shortest_PPI_path_score_biogrid,PDK4,BCL3;EGR1;FOS,exp02-coregnet,0.66667
CoRegNet,shortest_PPI_path_score_biogrid,SOCS3,BCL3;BHLHE40;EGR1;GADD45A;JUNB;NR4A1,exp02-coregnet,0.53333
CoRegNet,shortest_PPI_path_score_biogrid,SPARC,FOS;GADD45A,exp02-coregnet,0.5
CoRegNet,shortest_PPI_path_score_biogrid,TAGLN,FOS;GADD45A;NR4A1,exp02-coregnet,0.5
CoRegNet,shortest_PPI_path_score_biogrid,TIMP1,EGR1;GADD45A,exp02-coregnet,0.5
CoRegNet,shortest_PPI_path_score_biogrid,TIMP3,EPAS1;KLF9;NR4A1,exp02-coregnet,0.5
CoRegTor,shared_PPI_partners_score_hippie,CDKN1A,GADD45A;BCL3;ETS2,exp02_lung-coregtor-n_five,4.22556
CoRegTor,shared_PPI_partners_score_hippie,DUSP1,JUN;NR4A1;EGR1,exp02_lung-coregtor-n_five,29.37416
CoRegTor,shared_PPI_partners_score_hippie,FN1,HNRNPA1;YWHAZ;CSNK2B;TRIP10;GADD45A,exp02_lung-coregtor-n_five,25.80721
CoRegTor,shared_PPI_partners_score_hippie,HBB,SNRNP70;BCL6;BHLHE40;RPL35;TAGLN2,exp02_lung-coregtor-n_five,30.95684
CoRegTor,shared_PPI_partners_score_hippie,HLA-E,TRIP10;EPAS1,exp02_lung-coregtor-n_five,1.8227
CoRegTor,shared_PPI_partners_score_hippie,HSP90AA1,STAT6;ANXA1;KLF6;NUCB1;CLK1;GADD45A,exp02_lung-coregtor-n_five,1.8494
CoRegTor,shared_PPI_partners_score_hippie,NFKBIA,GADD45A;TBX2;JUNB;ETS2;BCL3;HSPA5;TRIP10,exp02_lung-coregtor-n_five,5.29457
CoRegTor,shared_PPI_partners_score_hippie,PDK4,BCL3;KLF9;BHLHE40;PKM;KLF4;CEBPB,exp02_lung-coregtor-n_five,9.84533
CoRegTor,shared_PPI_partners_score_hippie,SOCS3,BCL3;JUNB;ETS2;BHLHE40;GADD45A,exp02_lung-coregtor-n_five,9.09698
CoRegTor,shared_PPI_partners_score_hippie,SPARC,TBX2;TAGLN2;CSNK2B;YWHAZ;TRIP10,exp02_lung-coregtor-n_five,11.55107
CoRegTor,shared_PPI_partners_score_hippie,TAGLN,GADD45A;TAGLN2;CSNK2B;HNRNPA1;TRIP10,exp02_lung-coregtor-n_five,12.72899
CoRegTor,shared_PPI_partners_score_hippie,TIMP1,TPI1;YBX1;PKM;P4HB;RPL35,exp02_lung-coregtor-n_five,68.34558
CoRegTor,shared_PPI_partners_score_hippie,TIMP3,EPAS1;KLF9,exp02_lung-coregtor-n_five,2.00869
CoRegNet,shared_PPI_partners_score_hippie,CDKN1A,BCL3;BHLHE40;ETS2;GADD45A;JUNB;NR4A1,exp02-coregnet,11.86504
CoRegNet,shared_PPI_partners_score_hippie,DUSP1,BHLHE40;EGR1;FOS;GADD45A;JUN;JUNB;KLF4;NR4A1,exp02-coregnet,27.01095
CoRegNet,shared_PPI_partners_score_hippie,FN1,BCL3;BHLHE40;FOS;GADD45A;NR4A1,exp02-coregnet,17.23987
CoRegNet,shared_PPI_partners_score_hippie,HBB,BCL3;FOS;GADD45A,exp02-coregnet,9.68784
CoRegNet,shared_PPI_partners_score_hippie,HLA-E,BCL3;EPAS1;ETS2;GADD45A;JUN;JUNB;NR4A1;TRIP10,exp02-coregnet,13.51389
CoRegNet,shared_PPI_partners_score_hippie,HSP90AA1,HSPA5;JUN,exp02-coregnet,42.42484
CoRegNet,shared_PPI_partners_score_hippie,NFKBIA,BCL3;EGR1;ETS2;GADD45A;JUNB;KLF4;KLF9;NR4A1,exp02-coregnet,8.49061
CoRegNet,shared_PPI_partners_score_hippie,PDK4,BCL3;EGR1;FOS,exp02-coregnet,10.72783
CoRegNet,shared_PPI_partners_score_hippie,SOCS3,BCL3;BHLHE40;EGR1;GADD45A;JUNB;NR4A1,exp02-coregnet,12.11758
CoRegNet,shared_PPI_partners_score_hippie,SPARC,FOS;GADD45A,exp02-coregnet,16.58127
CoRegNet,shared_PPI_partners_score_hippie,TAGLN,FOS;GADD45A;NR4A1,exp02-coregnet,26.59101
CoRegNet,shared_PPI_partners_score_hippie,TIMP1,EGR1;GADD45A,exp02-coregnet,2.30408
CoRegNet,shared_PPI_partners_score_hippie,TIMP3,EPAS1;KLF9;NR4A1,exp02-coregnet,6.16953
CoRegTor,shared_PPI_partners_score_stringdb,CDKN1A,GADD45A;BCL3;ETS2,exp02_lung-coregtor-n_five,19.23826
CoRegTor,shared_PPI_partners_score_stringdb,DUSP1,JUN;NR4A1;EGR1,exp02_lung-coregtor-n_five,165.43855
CoRegTor,shared_PPI_partners_score_stringdb,FN1,HNRNPA1;YWHAZ;CSNK2B;TRIP10;GADD45A,exp02_lung-coregtor-n_five,12.15437
CoRegTor,shared_PPI_partners_score_stringdb,HBB,SNRNP70;BCL6;BHLHE40;RPL35;TAGLN2,exp02_lung-coregtor-n_five,2.28228
CoRegTor,shared_PPI_partners_score_stringdb,HLA-E,TRIP10;EPAS1,exp02_lung-coregtor-n_five,0.73425
CoRegTor,shared_PPI_partners_score_stringdb,HSP90AA1,STAT6;ANXA1;KLF6;NUCB1;CLK1;GADD45A,exp02_lung-coregtor-n_five,9.15399
CoRegTor,shared_PPI_partners_score_stringdb,NFKBIA,GADD45A;TBX2;JUNB;ETS2;BCL3;HSPA5;TRIP10,exp02_lung-coregtor-n_five,13.50127
