plot_tool,index,target,sources,method,value
CoRegTor,shortest_PPI_path_score_hippie,HSP90AA1,UBB;NUCB1;HSPA5;ATF4;RAN,exp02_cortex-ba9-coregtor-n_five,0.55
CoRegTor,shortest_PPI_path_score_hippie,MAT2A,ATF4;HNRNPA1,exp02_cortex-ba9-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,NDRG1,OLIG1;FEZ1;HNRNPA1;TSC22D4;RPS4X,exp02_cortex-ba9-coregtor-n_five,0.51667
CoRegTor,shortest_PPI_path_score_hippie,SPARC,HNRNPA1;SNRNP70;TSC22D4;UBXN1;FEZ1;CSNK2B;HSPA5;EWSR1,exp02_cortex-ba9-coregtor-n_five,0.66071
CoRegTor,shortest_PPI_path_score_hippie,STMN1,GOT1;YWHAZ;TCEAL2;NCALD;SOD1;PRDX5;TCEAL6,exp02_cortex-ba9-coregtor-n_five,0.50794
CoRegTor,shortest_PPI_path_score_hippie,VIM,ATF4;CSNK2B;EWSR1;ENO1;RAB7A,exp02_cortex-ba9-coregtor-n_five,0.5
CoRegNet,shortest_PPI_path_score_hippie,ACTB,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.49127
CoRegNet,shortest_PPI_path_score_hippie,APP,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.48772
CoRegNet,shortest_PPI_path_score_hippie,DUSP1,GOT1;NCALD,exp02-coregnet,0.5
CoRegNet,shortest_PPI_path_score_hippie,FASN,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.49127
CoRegNet,shortest_PPI_path_score_hippie,HSP90AA1,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.49127
