cluster_uid,target,sources,n_sources,method
4058b3dc8014,SPARC,ATF3;BCL6;BHLHE22;BHLHE41;CEBPB;CEBPD;FEZF2;FOS;HIF1A;HIF3A;HMGB2;ID2;ID4;JUN;JUNB;NFIL3;NR2E1;RFX4;SOX2;SOX9;XBP1,21,exp05-coregnet
4fac6020e1ec,SQSTM1,APEX1;ARID5A;ARNT2;ATF2;ATF3;ATF4;BCL6;BHLHE22;BHLHE40;BHLHE41;CEBPB;CEBPG;CIC;CREBL2;CTBP1;DBP;DDIT3;DEAF1;DRAP1;E4F1;EGR3;EMX2;ENO1;ERF;ETS2;EWSR1;FOS;FOXG1;FOXJ3;GTF2F1;GTF3A;HDAC3;HES4;HIF1A;HLF;HMGA1;HMGB2;HSF4;ID2;ID4;JAZF1;JUN;JUNB;JUND;KLF13;KLF15;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MESP1;MLX;MTA3;NCOA1;NCOR2;NFE2L1;NFIL3;NPAS2;NR1D1;NR1D2;NR2E1;NR2F2;PBX1;PIR;PPARD;RBFOX2;RELA;RFX4;RFX5;SMARCA1;SND1;SOX2;SOX9;SREBF1;SREBF2;STAT1;STAT2;STAT3;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZGPAT;ZNF32;ZSCAN18,92,exp05-coregnet
47b164cec76c,STMN1,APEX1;ATF2;ATF3;BHLHE22;CREBL2;DBP;DDIT3;EGR1;EGR3;ELK1;FEZF2;FOS;FOXG1;GTF3A;HLF;HMGA1;ID2;JAZF1;JUN;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;MYRF;NEUROD2;NPAS2;NR1D1;NR4A1;RBFOX2;SCRT1;SREBF2;TBPL1;TEF;THRA;UBP1;ZBTB18;ZBTB7A;ZNF32;ZSCAN18,44,exp05-coregnet
da49a50e7941,SUMO1,APEX1;ARNT2;ATF2;ATF4;BHLHE22;BHLHE41;CEBPG;CIC;CREBL2;CTBP1;DBP;DDIT3;DEAF1;DRAP1;E4F1;EGR3;ELK1;EMX2;ENO1;EWSR1;FEZF2;FOXG1;FOXJ3;GTF2F1;GTF3A;HDAC3;HIF1A;HLF;HMGA1;HMGB2;HSF4;ID2;ID4;JAZF1;JUND;KLF13;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;NCOA1;NEUROD2;NFE2L1;NPAS2;NR1D2;NR2E1;NR2F2;PBX1;PIR;PPARD;RBFOX2;RFX5;SMARCA1;SND1;SOX2;SOX9;SREBF2;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZNF32;ZSCAN18,75,exp05-coregnet
85ef8e57bc6b,TAGLN,ATF3;BCL6;CEBPD;ERF;ETS2;FOS;HIF3A;HSF4;ID1;JUNB;KLF9;MYRF;NFIL3;NKX6-2;NR4A1;STAT2;ZNF692,17,exp05-coregnet
44ef63e38024,TIMP1,ARID5A;ATF3;ATF4;BCL6;BHLHE40;BHLHE41;CEBPB;CEBPD;CEBPG;DBP;DDIT3;EGR1;EGR3;ENO1;ERF;ETS2;FOS;HES5;HIF1A;HMGA1;HMGB2;ID1;ID2;JUN;JUNB;JUND;KLF9;LMO2;MESP1;MYRF;NFIL3;NR1D1;NR4A1;PIR;RELA;RFX4;SMARCA1;STAT1;STAT2;STAT3;TFE3;XBP1,42,exp05-coregnet
c477500e32e3,TKT,APEX1;ARID5A;ARNT2;ATF2;ATF3;ATF4;BHLHE22;BHLHE40;BHLHE41;CEBPB;CEBPG;CIC;CREBL2;CTBP1;DBP;DDIT3;DEAF1;DRAP1;E4F1;EGR3;ELK1;EMX2;ENO1;ERF;ETS2;EWSR1;FEZF2;FOS;FOXG1;FOXJ3;GTF2F1;GTF3A;HDAC3;HIF1A;HLF;HMGA1;HMGB2;ID2;ID4;JAZF1;JUN;JUND;KLF13;KLF15;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MTA3;NCOA1;NCOR2;NEUROD2;NFE2L1;NFIL3;NPAS2;NR1D1;NR2E1;NR2F2;PBX1;PIR;PPARD;RBFOX2;RELA;RFX5;SMARCA1;SND1;SOX2;SOX9;SREBF2;STAT1;STAT2;STAT3;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZNF32;ZSCAN18,88,exp05-coregnet
979dd819e5ed,TXN,APEX1;ARNT2;ATF2;ATF4;BHLHE22;BHLHE41;CEBPG;CIC;CREBL2;CTBP1;DBP;DDIT3;DEAF1;DRAP1;E4F1;EGR3;ELK1;EMX2;ENO1;EWSR1;FEZF2;FOXG1;FOXJ3;GTF2F1;GTF3A;HDAC3;HES4;HIF1A;HLF;HMGA1;HMGB2;HSF4;ID2;ID4;JAZF1;JUND;KLF13;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;NCOA1;NEUROD2;NFE2L1;NPAS2;NR1D2;NR2E1;PBX1;PIR;PPARD;RBFOX2;RFX5;SMARCA1;SND1;SOX2;SOX9;SREBF2;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZNF189;ZNF32;ZSCAN18,76,exp05-coregnet
3e90436e4ba7,VEGFA,ATF3;BCL6;BHLHE22;CEBPD;EGR1;EGR3;FOS;HIF3A;JUN;NFIL3;NR4A1;XBP1,12,exp05-coregnet
38b411ba248c,VIM,APEX1;ATF3;ATF4;BCL6;BHLHE22;BHLHE40;BHLHE41;CEBPB;CEBPD;CEBPG;CIC;CREBL2;DBP;DDIT3;EGR1;EGR3;ELK1;EMX2;ENO1;ERF;ETS2;FEZF2;FOS;FOXG1;HIF1A;HIF3A;HLF;HMGA1;HMGB2;HSF4;ID2;ID4;JAZF1;JUN;JUNB;JUND;KLF16;KLF9;LHX2;MAFG;MEF2C;MEF2D;MEIS3;MESP1;MLX;NCOA1;NEUROD2;NFIL3;NPAS2;NR1D1;NR2E1;NR4A1;PIR;RELA;RFX4;RFX5;SMARCA1;SND1;SOX2;SOX9;SREBF1;SREBF2;STAT1;STAT2;STAT3;TEF;TFE3;THRA;XBP1;ZBTB18;ZSCAN18,71,exp05-coregnet
