cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
c2dad36d58d6,C4orf33,ZNF117;NCALD;KLRG1;HHAT,4,30.7692,0.1484,exp04_lung_reads-coregtor-default,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.21318,0.47063,0.25041,,,,
27076145062f,C5,GPAM;ZXDC;PML;TRIP10;ARID5A;ZNF311;KDM4A,7,53.8462,0.2148,exp04_lung_reads-coregtor-default,0.45238,0.38889,0.43651,2.21319,2.88212,1.52298,0.29555,0.7925,0.29195,,,,
3f3cc225c330,C5,ZNF69;ETV6,2,15.3846,0.1108,exp04_lung_reads-coregtor-default,0.5,0.25,0.5,1.10937,0.0,1.03573,0.72006,1.73306,0.68435,,,,
e0b8dff06ccf,C5AR1,HCLS1;SMAP2;SPI1;HOXB2;RBFOX2;NFATC4;MAFB;RXRB;HES7;NFIB;EBF4;TRIP10;HOXB4;ZSCAN18;POU6F1,15,62.5,0.1414,exp04_lung_reads-coregtor-default,0.42857,0.43571,0.43016,1.7136,5.96243,1.552,0.51413,1.48326,0.47382,,,,
2861ce297daf,C5AR2,ZFP1;SEMA4A;AEBP2;ZNF222;TFCP2L1;SMAP2;CTCF;ZNF570;ZNF799;ZNF420;ATF1;TRIM69;WRNIP1;ZNF626;ZNF184;NFYA,16,45.7143,0.1567,exp04_lung_reads-coregtor-default,0.38889,0.40347,0.40903,1.37842,1.6398,1.60917,0.55674,1.35693,0.56147,,,,
3dffb720152e,C5AR2,ZNF583;CREB1;ZNF17,3,8.5714,0.107,exp04_lung_reads-coregtor-default,0.33333,0.38889,0.44444,0.0,0.665,1.11531,0.53082,1.36416,0.53281,,,,
1144b7aea039,C5AR2,ZNF510;ZNF780B,2,5.7143,0.0819,exp04_lung_reads-coregtor-default,0.25,0.33333,0.25,0.0,0.0,0.0,0.93796,2.20854,0.83352,,,,
4efd117d67a0,C5orf15,RBBP9;SRP9;TSNAX;RAB14;GTF2A1;ZBTB41;RAB2A;CNOT6;TFDP1,9,64.2857,0.4171,exp04_lung_reads-coregtor-default,0.47685,0.39815,0.5,2.5554,2.12101,4.22564,0.33491,0.9133,0.32381,,,,
40b363182eba,C5orf15,ZHX1;SOX2,2,14.2857,0.1066,exp04_lung_reads-coregtor-default,0.5,0.5,0.5,2.79912,2.54052,10.77563,0.62215,1.85124,0.51091,,,,
c03709e7e688,C5orf22,AGGF1;TSN;RIOK2;TIGD2;MIOS;MTERF1;VPS4B;ARID5A;ZNF561;ZNF79;GTF2H3,11,100.0,0.0,exp04_lung_reads-coregtor-default,0.4,0.38485,0.42424,1.11447,0.59846,1.54784,0.35223,0.8403,0.35711,,,,
5f54925ac942,C5orf24,ZNF148;ZHX1,2,100.0,0.0,exp04_lung_reads-coregtor-default,0.5,0.33333,0.5,18.22885,0.0,26.74391,0.84724,2.12442,0.78799,,,,
697224be240f,C6orf120,TSNAX;ZNF623;ZSCAN12;AGGF1;ZZZ3;ZNF619;ZBTB6;ZNF174;ZNF490;MTERF1;ZNF681;ZKSCAN4;NUP133;ZBTB14;ZNF441;VPS4B;ZNF845;ZNF585B;ZNF468;BCL3;TIGD2;ZSCAN29;RFXAP,23,51.1111,0.195,exp04_lung_reads-coregtor-default,0.37484,0.36792,0.42424,3.14088,0.6923,1.67275,0.5652,1.31447,0.55173,,,,
9ea846caee58,C6orf132,IRF6;KLF5;EZR;TRAF4;ELF3,5,55.5556,0.2622,exp04_lung_reads-coregtor-default,0.45,0.6,0.45,2.74436,3.94792,3.00245,0.4478,1.25428,0.42862,,,,
7ec2c9b56395,C6orf136,PTCD1;ZNF530;ZBTB45;THAP11;ZKSCAN4;MRPL2;ZNF768;ZSCAN25;PATZ1;ZNF414;ZSCAN29;VPS4B;ZFP69;MAGEF1;ZNF212;ZNF517;FAAP24;RFXANK;ZNF287;ZNF688;ZNF174;ZNF205;ZNF641;ASH2L;CYB5R1;NMRAL1;TSN;ZSCAN21;ZNF18;SMUG1;ZNF282,31,73.8095,0.1888,exp04_lung_reads-coregtor-default,0.40502,0.38996,0.43459,3.12762,1.08559,2.22871,0.56904,1.31631,0.55595,,,,
8a21a5fb8627,C6orf136,FOSL2;CPTP,2,4.7619,0.0358,exp04_lung_reads-coregtor-default,0.33333,0.33333,0.5,0.0,0.0,1.44844,0.11066,0.37943,0.15018,,,,
