cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
aac1549ac933,TRIM68,ZNF616;ZNF816;ZKSCAN3;ZNF443;ZSCAN26;ZNF780A;ZNF225;ZNF681;ZNF527;ZNF684;ZNF132;ZNF397;ZBTB3;ZFP62;ZKSCAN7;ING4,16,53.3333,0.1932,exp04_lung_reads-coregtor-default
2690bcc6d12a,TRIM68,ZNF701;ZNF594,2,6.6667,0.1133,exp04_lung_reads-coregtor-default
eb82f6bcd825,TRIM68,ZNF211;ZNF585A,2,6.6667,0.1102,exp04_lung_reads-coregtor-default
3ee2c1045991,TRIM68,ZNF607;ZNF737,2,6.6667,0.0712,exp04_lung_reads-coregtor-default
cc3fb8899cca,TRIM8,HOXB4;HOXB2;HOXB5;ZNF853;EBF4;TBX2;GLIS2;TBX4;HOXB6;HOXB3;CIC;HMG20B,12,44.4444,0.195,exp04_lung_reads-coregtor-default
3bf8f7f5e6a3,TRIO,GTF2IRD1;NONO;HSPA1L;HIRIP3;ZNF8;SOCS4;ZNF781;NF1;MAFG;FOXK2;ZBTB43;ASH2L;UBTF;THOC2;TFCP2;POU2F1;TERF1;NFYC;YOD1,19,47.5,0.1981,exp04_lung_reads-coregtor-default
bc68c0baf5d9,TRIOBP,ZNF71;CENPB;ZNF853;ZBTB47;TBX2;RBM42;SOX18;DGCR8;ZNF677;HOXA7;ZNF792;NELFB;GATA2;ZNF142,14,53.8462,0.2533,exp04_lung_reads-coregtor-default
86550de2bfaf,TRIOBP,FBXL19;ZNF34,2,7.6923,0.1849,exp04_lung_reads-coregtor-default
dc04ad36573d,TRIP11,ZNF561;ZNF28;THAP1;MGA;ZNF180;CTCF;ZZZ3;ZSCAN20;RBBP5;ZNF41;CDC5L;TFCP2;ZNF835;ZNF320;ZFP82;ZNF701,16,84.2105,0.4365,exp04_lung_reads-coregtor-default
0baae4f56292,TRIP12,ATF6;DHX36;PSMD12;ZNF800,4,66.6667,0.3781,exp04_lung_reads-coregtor-default
ee84a0cfd3cc,TRIP4,TFCP2;MTERF1;ZNF41;THAP1;ZNF691;NFYC,6,75.0,0.2979,exp04_lung_reads-coregtor-default
bc14bf30aa42,TRIP6,GRHPR;SPAG7;ASPSCR1;KDM7A;ZNF414,5,38.4615,0.2336,exp04_lung_reads-coregtor-default
7a2f5a7f9681,TRIP6,SCAND1;STUB1,2,15.3846,0.0983,exp04_lung_reads-coregtor-default
7c06b404ecd6,TRIQK,CREBL2;ZNF138;ZNF391;GABPA;GATAD2A;ZFP64;ZNF280D;ZNF561,8,100.0,0.0,exp04_lung_reads-coregtor-default
b87c33f7895b,TRIR,RPL35;ZNF771;PQBP1;ZNF579;EEF1D;ZNF787;BAD;MYPOP;STUB1;RBM42;POLE4;DRAP1;ZNF511;SCAND1;ELF1;ZGPAT;RNASEH2C,17,89.4737,0.2928,exp04_lung_reads-coregtor-default
61362ed2090e,TRIT1,ZNF3;ZNF606;CSTF2;PATZ1;ZNF7;ZFP3;ZNF584;NCBP2;TIGD1;GTF3C2;ZNF33A;MIOS;ZNF572;ZNF287,14,63.6364,0.1598,exp04_lung_reads-coregtor-default
f40a66a5487e,TRMT10B,ZNF549;ZNF225;ZNF84;ZNF397;ZNF585A;ZNF133;ZSCAN26;ZNF284;ZNF169;ZNF616;ZNF182;ZNF517;ZKSCAN3;ZFP62;ZNF701;ZNF546,16,100.0,0.0,exp04_lung_reads-coregtor-default
521daf4b98dc,TRMT10C,RIOK2;CHAMP1;ZNF622,3,100.0,0.0,exp04_lung_reads-coregtor-default
a63a206dcba8,TRMT11,ZNF26;NUP107;ZZZ3;ZNF507,4,23.5294,0.1451,exp04_lung_reads-coregtor-default
