"Regulator","Target"
"TRIM21","PCNA"
"TRIM21","SPARC"
"TRIM21","PRKACA"
"TRIM21","PSEN1"
"TRIM21","VIM"
"TRIM21","HBB"
"TRIM21","GADD45B"
"TRIM21","HBA2"
"TRIM21","BCL2L1"
"TRIM21","HSPA1A"
"GTF3A","SUMO1"
"SIRT6","SUMO1"
"SIRT6","PDLIM7"
"SIRT6","TKT"
"SIRT6","RHOA"
"SIRT6","TGFB1"
"SIRT6","PRKACA"
"SIRT6","VIM"
"CREB3","SUMO1"
"CREB3","AKT1"
"CREB3","RHOA"
"CREB3","GSTP1"
"CREB3","TGFB1"
"CREB3","SQSTM1"
"ARNT","SUMO1"
"ARNT","TKT"
"ARNT","AKT1"
"ARNT","RHOA"
"ARNT","TGFB1"
"ARNT","SQSTM1"
"ARNT","VIM"
"USF1","SUMO1"
"USF1","PDLIM7"
"USF1","TKT"
"USF1","RHOA"
"USF1","TGFB1"
"USF1","SQSTM1"
"USF1","PRKACA"
"USF1","VIM"
"EWSR1","SUMO1"
"EWSR1","AKT1"
"EWSR1","RHOA"
"EWSR1","GSTP1"
"EWSR1","TGFB1"
"EWSR1","SQSTM1"
"EWSR1","VIM"
"ZBTB7A","SUMO1"
"ZBTB7A","AKT1"
"ZBTB7A","RHOA"
"ZBTB7A","TGFB1"
"ZBTB7A","SQSTM1"
"ZBTB7A","VIM"
"ZGPAT","SUMO1"
"ZGPAT","PDLIM7"
"ZGPAT","TKT"
"ZGPAT","AKT1"
"ZGPAT","RHOA"
"ZGPAT","TGFB1"
"ZGPAT","SQSTM1"
"ZGPAT","PRKACA"
"ZGPAT","VIM"
"GTF2F1","SUMO1"
"GTF2F1","RASSF1"
"GTF2F1","AKT1"
"GTF2F1","RHOA"
"GTF2F1","GSTP1"
"GTF2F1","TGFB1"
"GTF2F1","SQSTM1"
"ZBTB17","SUMO1"
"ZBTB17","RASSF1"
"ZBTB17","AKT1"
"ZBTB17","RHOA"
"ZBTB17","GSTP1"
"ZBTB17","TGFB1"
"ZBTB17","SQSTM1"
"MBD2","SUMO1"
"MBD2","CD44"
"MBD2","TKT"
"MBD2","RHOA"
"MBD2","TGFB1"
"MBD2","VIM"
"CTBP1","SUMO1"
"CTBP1","RASSF1"
"CTBP1","AKT1"
"CTBP1","RHOA"
"CTBP1","TGFB1"
"CTBP1","SQSTM1"
"CTBP1","VIM"
"YY1","SUMO1"
"YY1","AKT1"
"YY1","TGFB1"
"ETV6","SUMO1"
"ETV6","CD44"
"ETV6","PDLIM7"
"ETV6","RHOA"
"ETV6","TGFB1"
"ETV6","SQSTM1"
"MBD1","SUMO1"
"MBD1","RASSF1"
"MBD1","AKT1"
"MBD1","RHOA"
"MBD1","CDKN1B"
"MBD1","TGFB1"
"MBD1","SQSTM1"
"MBD1","OGA"
"DMAP1","SUMO1"
"DMAP1","RASSF1"
"DMAP1","AKT1"
"DMAP1","RHOA"
"DMAP1","GSTP1"
"DMAP1","TGFB1"
"DMAP1","SQSTM1"
"LDB1","SUMO1"
"LDB1","RASSF1"
"LDB1","AKT1"
"LDB1","RHOA"
"LDB1","TGFB1"
"LDB1","SQSTM1"
"LDB1","VIM"
"UBTF","SUMO1"
"UBTF","RASSF1"
"UBTF","AKT1"
"UBTF","GSTP1"
"UBTF","TGFB1"
"UBTF","PCNA"
