"Regulator","Target"
"JUN","HLA-E"
"JUN","VEGFA"
"JUN","NFKBIA"
"JUN","CRYAB"
"JUN","HSP90AA1"
"JUN","PER1"
"JUN","HLA-DRB1"
"JUN","CARM1"
"JUN","MAT2A"
"JUN","FASN"
"JUNB","PRKACA"
"JUNB","SOD2"
"JUNB","GADD45B"
"JUNB","PIK3R1"
"JUNB","APOE"
"JUNB","ACTB"
"JUNB","CDKN1A"
"JUNB","SPARC"
"JUNB","HSPA1A"
"JUNB","MCL1"
"JUNB","APP"
"JUNB","DUSP1"
"JUNB","HSPA4"
"JUNB","BMI1"
"JUNB","TAGLN"
"JUNB","STMN1"
"JUNB","HLA-E"
"JUNB","VEGFA"
"JUNB","NFKBIA"
"JUNB","ID3"
"JUNB","HSP90AA1"
"JUNB","PER1"
"JUNB","CARM1"
"JUNB","MAT2A"
"JUNB","FASN"
"NFIL3","PRKACA"
"NFIL3","SOD2"
"NFIL3","GADD45B"
"NFIL3","PIK3R1"
"NFIL3","PKD1"
"NFIL3","ACTB"
"NFIL3","SPARC"
"NFIL3","TIMP1"
"NFIL3","MCL1"
"NFIL3","APP"
"NFIL3","HSPA4"
"NFIL3","BMI1"
"NFIL3","TAGLN"
"NFIL3","STMN1"
"NFIL3","HLA-E"
"NFIL3","VEGFA"
"NFIL3","NFKBIA"
"NFIL3","CRYAB"
"NFIL3","HSP90AA1"
"NFIL3","PER1"
"NFIL3","HLA-DRB1"
"NFIL3","CARM1"
"NFIL3","MAT2A"
"NFIL3","FASN"
"HIVEP2","PRKACA"
"HIVEP2","SOD2"
"HIVEP2","PIK3R1"
"HIVEP2","PKD1"
"HIVEP2","ACTB"
"HIVEP2","APP"
"HIVEP2","HSPA4"
"HIVEP2","BMI1"
"HIVEP2","STMN1"
"HIVEP2","HSP90AA1"
"HIVEP2","CARM1"
"HIVEP2","MAT2A"
"HIVEP2","FASN"
"MEF2A","PRKACA"
"MEF2A","SOD2"
"MEF2A","PIK3R1"
"MEF2A","PKD1"
"MEF2A","ACTB"
"MEF2A","APP"
"MEF2A","HSPA4"
"MEF2A","BMI1"
"MEF2A","STMN1"
"MEF2A","HSP90AA1"
"MEF2A","PER1"
"MEF2A","CARM1"
"MEF2A","MAT2A"
"MEF2A","FASN"
"SATB1","PRKACA"
"SATB1","SOD2"
"SATB1","PIK3R1"
"SATB1","PKD1"
"SATB1","ACTB"
"SATB1","APP"
"SATB1","HSPA4"
"SATB1","BMI1"
"SATB1","STMN1"
"SATB1","HSP90AA1"
"SATB1","CARM1"
"SATB1","MAT2A"
"SATB1","FASN"
"SATB1","VIM"
"SATB1","APOE"
"HLF","PRKACA"
"HLF","SOD2"
"HLF","PIK3R1"
"HLF","PKD1"
"HLF","ACTB"
"HLF","APP"
"HLF","HSPA4"
"HLF","BMI1"
"HLF","STMN1"
"HLF","HSP90AA1"
"HLF","CARM1"
"HLF","MAT2A"
"HLF","FASN"
"HLF","SPARC"
"SATB2","PRKACA"
"SATB2","SOD2"
"SATB2","PIK3R1"
"SATB2","PKD1"
"SATB2","ACTB"
"SATB2","APP"
"SATB2","HSPA4"
"SATB2","BMI1"
"SATB2","STMN1"
"SATB2","HSP90AA1"
"SATB2","PER1"
"SATB2","CARM1"
"SATB2","MAT2A"
"SATB2","FASN"
"EGR3","PRKACA"
"EGR3","SOD2"
"EGR3","PIK3R1"
"EGR3","PKD1"
"EGR3","ACTB"
"EGR3","APP"
"EGR3","HSPA4"
"EGR3","BMI1"
"EGR3","STMN1"
"EGR3","HSP90AA1"
"EGR3","PER1"
"EGR3","CARM1"
"EGR3","MAT2A"
"EGR3","FASN"
"EGR3","VIM"
"EGR3","APOE"
"EGR3","SPARC"
"EGR3","TAGLN"
"THRB","PRKACA"
"THRB","SOD2"
"THRB","PIK3R1"
"THRB","PKD1"
"THRB","ACTB"
"THRB","APP"
"THRB","HSPA4"
"THRB","BMI1"
"THRB","STMN1"
"THRB","HSP90AA1"
"THRB","CARM1"
"THRB","MAT2A"
"THRB","FASN"
"THRB","APOE"
"THRB","SPARC"
"RBFOX2","PRKACA"
"RBFOX2","SOD2"
"RBFOX2","PIK3R1"
"RBFOX2","PKD1"
"RBFOX2","ACTB"
"RBFOX2","APP"
"RBFOX2","HSPA4"
"RBFOX2","BMI1"
"RBFOX2","STMN1"
"RBFOX2","HSP90AA1"
"RBFOX2","PER1"
"RBFOX2","CARM1"
"RBFOX2","MAT2A"
"RBFOX2","FASN"
"RBFOX2","APOE"
"MEF2C","PRKACA"
"MEF2C","SOD2"
"MEF2C","PIK3R1"
"MEF2C","PKD1"
"MEF2C","ACTB"
"MEF2C","APP"
"MEF2C","HSPA4"
"MEF2C","BMI1"
